企業名,市町,業種,住所（要確認）,代表TEL（要確認）,初回訴求ポイント,訪問メモ
フジフーズ（株）仙台工場,名取市,食品製造（惣菜・弁当）,,,昼間負荷大・冷蔵/加熱設備,
トップフーズ（株）,名取市,食品製造,,,昼間負荷大,
学校給食パン宮城協業組合,名取市,食品製造（パン）,,,安定稼働・昼間負荷,
（株）今家印刷,名取市,印刷・製本,,,屋根面積広めの可能性,
（株）創惠,名取市,金属切削加工,,,モータ負荷・昼間稼働,
（株）ウッベル,名取市,紙工品製造,,,一定負荷・屋根面積,
国分東北（株）,名取市,物流・倉庫,,,屋根大・常時負荷,
（株）ラグノオささき 仙台工場/配送,名取市,食品・菓子,,,低温保管あり,
丸全昭和運輸（株） 名取営業所,名取市,物流・倉庫,,,屋根大・常時負荷,
マスダ運輸（株）,名取市,運輸・倉庫,,,屋根大・常時負荷,
平塚ベルト（株）,名取市,搬送ベルト製造,,,動力負荷,
（株）ウチダ 仙台工場,名取市,自動車部品・金型,,,機械負荷・昼間稼働,
篠﨑コンクリート工業（株）,名取市,コンクリート製品,,,屋外ヤード・電力負荷,
（株）中央製作所,名取市,受配電盤製造,,,相性良・PR可,
東栄科学産業（株）,名取市,検査機器,,,事務＋工場混在,
ジャムコ（株）仙台関係拠点,名取市,航空機器製造・整備,,,高付加価値・BCP訴求,
日本製紙（株） 岩沼工場,岩沼市,製紙・パルプ,,,大電力（ヒアリング要）,
東北フジパン（株） 仙台工場,岩沼市,食品（パン）,,,低温・加熱設備,
日本デリカフレッシュ（株） 仙台工場,岩沼市,食品（惣菜）,,,昼間負荷大,
西木食品（株） 岩沼工場,岩沼市,食品,,,昼間負荷大,
関包スチール（株） 東北工場,岩沼市,鋼板加工・スリッター,,,モータ負荷・天井高,
（株）ウチダ 仙台工場 岩沼エリア,岩沼市,金型・プレス,,,機械負荷,
トーモク（株） 仙台工場,岩沼市,段ボール/紙器,,,屋根面積大,
中野倉庫運輸（株） 東北支店,岩沼市,倉庫・物流,,,屋根大・昼間常時,
大昭倉庫（株） 岩沼臨空,岩沼市,倉庫・物流,,,屋根大,
ロジスティード北日本（株） 仙台,岩沼市,倉庫・物流,,,屋根大,
ニチレイロジスティクス東北 仙台南物流センター,岩沼市,冷蔵倉庫,,,24h負荷・好相性,
臼真倉庫（株） 岩沼臨空,岩沼市,倉庫・物流,,,屋根大,
丸吉ロジ（株） 岩沼営業所,岩沼市,倉庫・物流,,,屋根大,
Astemo（株） 亘理,亘理町,自動車部品,,,ライン負荷・昼間稼働,
宮城製粉（株）,亘理町,食品,,,低温・昼間負荷,
東北セキスイハイム工業（株）,亘理町,住宅資材製造,,,屋根大・ライン負荷,
日幸電機（株）,亘理町,電機,,,機械負荷,
王子製袋（株） 仙台工場,亘理町,紙器,,,屋根大,
特養 松陽苑,名取市,特別養護老人ホーム,,,昼間常時負荷/BCP訴求,
特養 うらやす,名取市,特別養護老人ホーム,,,昼間常時負荷/BCP訴求,
特養 けやき,名取市,特別養護老人ホーム,,,昼間常時負荷/BCP訴求,
特養 らんらん,名取市,特別養護老人ホーム,,,昼間常時負荷/BCP訴求,
特養 三喜（閖上中央）,名取市,特別養護老人ホーム,,,昼間常時負荷/BCP訴求,
